Paul George,Paul George,Los Angeles Clippers,2021,"$37,895,268"
Taj Gibson,Taj Gibson,New York Knicks,2019,"$9,800,000"
Taj Gibson,Taj Gibson,New York Knicks,2020,"$10,290,000"
Harry Giles,Harry Giles,Sacramento Kings,2019,"$2,578,800"
Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,Oklahoma City Thunder,2019,"$3,952,920"
Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,Oklahoma City Thunder,2020,"$4,141,320"
Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,Oklahoma City Thunder,2021,"$5,495,532"
Rudy Gobert,Rudy Gobert,Utah Jazz,2019,"$25,008,427"
Rudy Gobert,Rudy Gobert,Utah Jazz,2020,"$26,525,281"
Brandon Goodwin,Brandon Goodwin,Atlanta Hawks,2019,"$522,738"
Brandon Goodwin,Brandon Goodwin,Atlanta Hawks,2020,"$1,701,593"
Aaron Gordon,Aaron Gordon,Orlando Magic,2019,"$19,863,636"
Aaron Gordon,Aaron Gordon,Orlando Magic,2020,"$18,136,364"
Aaron Gordon,Aaron Gordon,Orlando Magic,2021,"$16,409,091"
Eric Gordon,Eric Gordon,Houston Rockets,2019,"$14,057,730"
Eric Gordon,Eric Gordon,Houston Rockets,2020,"$16,869,276"
Eric Gordon,Eric Gordon,Houston Rockets,2021,"$18,218,818"
Eric Gordon,Eric Gordon,Houston Rockets,2022,"$19,568,360"
Eric Gordon,Eric Gordon,Houston Rockets,2023,"$20,917,902"
Devonte' Graham,Devonte' Graham,Charlotte Hornets,2019,"$1,416,852"
Devonte' Graham,Devonte' Graham,Charlotte Hornets,2020,"$1,663,861"
Treveon Graham,Treveon Graham,Atlanta Hawks,2019,"$1,678,854"
Jerami Grant,Jerami Grant,Denver Nuggets,2019,"$9,346,153"
