Trevor Ariza,2020,34,POR,NBA,SF,21,702,,4%,88%,9%,,1.9,4.4,12,7,14,2,24,7,101,6,7
Jamel Artis,2018,25,ORL,NBA,SG,15,279,,48%,46%,6%,,-2.1,3.1,3,4,6,1,4,1,47,2,3
D.J. Augustin,2009,21,CHA,NBA,PG,72,1908,100%,,,,,-1.1,0.6,73,32,58,7,79,14,564,9,56
D.J. Augustin,2010,22,CHA,NBA,PG,80,1472,100%,,,,,0.7,-1.4,52,14,45,7,43,18,428,7,47
D.J. Augustin,2011,23,CHA,NBA,PG,82,2757,100%,,,,,-5.7,-3.7,84,42,62,17,93,11,1114,26,81
D.J. Augustin,2012,24,CHA,NBA,PG,48,1408,77%,23%,,,,-15.4,0.5,65,20,23,15,36,16,659,5,42
D.J. Augustin,2013,25,IND,NBA,PG,76,1226,100%,,,,,-1.7,-9.5,42,15,23,7,21,12,383,0,20
D.J. Augustin,2014,26,TOT,NBA,PG,71,1939,100%,,,,,1.3,-2,70,29,57,13,65,23,699,12,51
D.J. Augustin,2014,26,TOR,NBA,PG,10,82,100%,,,,,-7.9,-11.8,2,4,4,1,1,1,25,0,3
D.J. Augustin,2014,26,CHI,NBA,PG,61,1857,100%,,,,,1.8,-0.6,68,25,53,12,64,22,674,12,48
D.J. Augustin,2015,27,TOT,NBA,PG,82,1964,98%,2%,,,,-2.4,-3.6,82,41,32,9,68,16,827,12,50
D.J. Augustin,2015,27,DET,NBA,PG,54,1287,97%,3%,,,,-3.8,-3.5,64,32,21,6,56,12,618,11,38
D.J. Augustin,2015,27,OKC,NBA,PG,28,677,100%,,,,,0.2,-2.3,18,9,11,3,12,4,209,1,12
D.J. Augustin,2016,28,TOT,NBA,PG,62,1178,100%,,,,,-1.1,-3.8,52,19,40,8,47,14,445,10,32
D.J. Augustin,2016,28,OKC,NBA,PG,34,519,100%,,,,,-1.5,-10,20,5,23,2,12,8,145,1,12
D.J. Augustin,2016,28,DEN,NBA,PG,28,659,100%,,,,,-0.9,2.7,32,14,17,6,35,6,300,9,20
D.J. Augustin,2017,29,ORL,NBA,PG,78,1538,100%,,,,,-15,-13.1,59,20,31,10,64,14,482,10,35
D.J. Augustin,2018,30,ORL,NBA,PG,75,1760,100%,,,,,-3.8,2.1,68,27,28,12,68,12,665,11,42
D.J. Augustin,2019,31,ORL,NBA,PG,81,2269,100%,,,,,3.1,4.8,82,29,38,11,69,36,994,11,42
D.J. Augustin,2020,32,ORL,NBA,PG,49,1215,100%,,,,,2.7,6,41,19,17,5,54,11,541,8,27
Deandre Ayton,2019,20,PHO,NBA,C,71,2183,,,,,100%,-8.5,1.2,32,41,135,24,90,2,310,24,43
Deandre Ayton,2020,21,PHO,NBA,C,30,996,,,,1%,99%,1.3,3.5,18,21,58,12,39,2,130,12,29
Dwayne Bacon,2018,22,CHO,NBA,SG,53,713,,7%,76%,17%,,1.7,1.8,16,4,21,0,10,1,99,5,5
Dwayne Bacon,2019,23,CHO,NBA,SG,43,759,,29%,66%,4%,,-1.3,0.1,8,4,33,2,23,2,120,4,14
Dwayne Bacon,2020,24,CHO,NBA,SG,39,687,3%,43%,55%,,,-7.8,-0.9,12,11,21,6,29,4,137,9,20
Marvin Bagley III,2019,19,SAC,NBA,PF,62,1567,,,,45%,54%,-3.1,-3.6,27,32,55,17,121,6,146,19,46
Marvin Bagley III,2020,20,SAC,NBA,PF,13,334,,,,12%,88%,-14,-13.5,3,6,21,2,18,4,24,7,16
Ron Baker,2017,23,NYK,NBA,SG,52,857,3%,56%,41%,,,-3.1,1,36,14,35,2,15,10,248,4,16
Ron Baker,2018,24,NYK,NBA,SG,29,385,7%,74%,19%,,,2.5,7.1,13,2,13,0,4,2,104,0,1
Ron Baker,2019,25,TOT,NBA,SG,15,152,11%,59%,30%,,,-5.9,0.2,3,1,6,1,1,4,36,0,1
Ron Baker,2019,25,NYK,NBA,SG,11,107,16%,62%,22%,,,-1.3,8.2,2,0,4,1,1,4,30,0,1
Ron Baker,2019,25,WAS,NBA,SG,4,45,,51%,49%,,,-17.2,-14.4,1,1,2,0,0,0,6,0,0
Wade Baldwin,2017,20,MEM,NBA,PG,33,405,83%,18%,,,,-16.1,-18.7,23,8,19,4,14,4,152,1,10
Wade Baldwin,2018,21,POR,NBA,PG,7,80,50%,50%,,,,5.1,2.3,0,1,3,1,6,1,11,2,1
Wade Baldwin,2019,22,POR,NBA,PG,16,94,98%,2%,,,,-34.5,-39.3,9,3,4,1,4,1,28,1,5
Lonzo Ball,2018,20,LAL,NBA,PG,52,1780,84%,14%,2%,,,-0.9,1.2,96,21,49,7,28,10,869,5,39
