Avery Bradley,pbp.2013,22,BOS,NBA,PG,6,191,100%,,,,,-7.3,-2.6,9,1,3,0,1,0,20,0,7
Avery Bradley,pbp.2015,24,BOS,NBA,SG,4,133,24%,62%,14%,,,-7,11.2,2,1,5,0,3,0,7,0,1
Avery Bradley,pbp.2016,25,BOS,NBA,SG,1,33,,91%,9%,,,0,6.7,1,0,0,0,2,0,2,1,1
Avery Bradley,pbp.2017,26,BOS,NBA,SG,18,645,21%,76%,4%,,,-6.4,-14,18,11,17,1,11,2,100,3,19
Tony Bradley,pbp.2018,20,UTA,NBA,C,1,2,,,,,100%,66.7,68.6,0,0,0,0,0,0,0,0,0
Corey Brewer,pbp.2011,24,DAL,NBA,SG,6,23,,39%,61%,,,22.4,15.7,0,1,1,1,0,0,2,0,1
Corey Brewer,pbp.2012,25,DEN,NBA,SF,7,116,,31%,68%,,,0.9,1,0,2,3,0,4,2,12,1,4
Corey Brewer,pbp.2013,26,DEN,NBA,SF,6,146,,1%,90%,9%,,-3.3,3,0,3,6,3,9,2,17,1,5
Corey Brewer,pbp.2015,28,HOU,NBA,SF,17,428,,41%,58%,1%,,-6.4,-9.7,5,6,15,2,15,7,42,2,13
Corey Brewer,pbp.2016,29,HOU,NBA,SF,5,77,,9%,90%,1%,,-12.1,11.3,3,0,3,2,2,1,18,0,3
Corey Brewer,pbp.2018,31,OKC,NBA,SG,6,151,,88%,12%,,,-12.6,-16.6,1,1,6,0,2,1,11,0,1
Malcolm Brogdon,pbp.2017,24,MIL,NBA,SG,6,183,65%,30%,5%,,,-3.5,-5.4,6,3,6,2,0,1,50,0,2
Malcolm Brogdon,pbp.2018,25,MIL,NBA,PG,7,186,18%,82%,,,,-6,-14.3,4,5,4,0,2,0,44,2,4
Malcolm Brogdon,pbp.2019,26,MIL,NBA,SG,7,198,,67%,32%,1%,,14.8,7.4,8,1,7,1,6,1,55,1,4
Aaron Brooks,pbp.2008,23,HOU,NBA,PG,6,50,100%,,,,,-13.7,-12.3,2,1,4,0,6,1,7,1,3
Aaron Brooks,pbp.2009,24,HOU,NBA,PG,13,444,100%,,,,,-4,-7.7,18,9,8,1,9,1,98,0,13
Aaron Brooks,pbp.2013,28,HOU,NBA,PG,6,67,100%,,,,,1,8.6,5,1,3,0,0,0,26,0,5
Aaron Brooks,pbp.2015,30,CHI,NBA,PG,12,132,100%,,,,,-18.5,-27.6,5,2,6,2,3,1,26,0,5
Aaron Brooks,pbp.2017,32,IND,NBA,PG,1,7,100%,,,,,-20.3,-17.2,1,0,0,0,0,0,2,0,0
Aaron Brooks,pbp.2018,33,MIN,NBA,PG,2,3,100%,,,,,0,9.7,0,0,0,0,0,0,0,0,0
MarShon Brooks,pbp.2013,24,BRK,NBA,SG,7,40,,77%,23%,,,27.5,28.8,3,0,0,0,1,0,6,0,0
Bobby Brown,pbp.2017,32,HOU,NBA,PG,5,22,100%,,,,,-28.2,-31.2,0,0,1,0,0,0,3,0,0
Bruce Brown,pbp.2019,22,DET,NBA,SG,4,57,,,84%,16%,,-31.9,-10.2,0,2,6,0,1,1,5,0,1
Jaylen Brown,pbp.2017,20,BOS,NBA,SF,17,215,,4%,35%,58%,2%,-1.8,1.3,5,4,13,1,10,2,31,4,1
Jaylen Brown,pbp.2018,21,BOS,NBA,SG,18,583,,71%,29%,,,0.7,-0.1,10,5,23,0,20,5,64,2,28
Jaylen Brown,pbp.2019,22,BOS,NBA,SG,9,274,,88%,12%,,,-8.8,-16.7,6,3,14,4,10,1,28,0,5
Lorenzo Brown,pbp.2018,27,TOR,NBA,PG,4,29,,79%,22%,,,-25.7,-22.7,1,0,1,0,1,0,4,0,0
Markel Brown,pbp.2015,23,BRK,NBA,SG,2,10,,100%,,,,-63.3,-59.6,0,0,0,0,1,0,3,0,0
Sterling Brown,pbp.2018,22,MIL,NBA,SG,3,13,,100%,,,,4.3,4.1,0,0,1,0,0,0,0,0,0
Sterling Brown,pbp.2019,23,MIL,NBA,SG,11,162,,46%,48%,5%,,12.2,3.7,0,4,4,3,5,0,46,1,3
Reggie Bullock,pbp.2014,22,LAC,NBA,SF,2,5,,,90%,10%,,-120,-122.4,0,0,0,0,0,0,2,0,0
Reggie Bullock,pbp.2016,24,DET,NBA,SF,2,22,,86%,15%,,,-33.2,-26,0,0,2,0,0,0,7,0,0
Trey Burke,pbp.2017,24,WAS,NBA,PG,3,20,73%,28%,,,,-5.4,-4.9,0,0,1,0,0,0,12,0,0
Alec Burks,pbp.2012,20,UTA,NBA,SG,4,63,,100%,,,,-11,10.8,3,0,1,0,7,1,6,1,3
